element,sp_num,lambda,intens,Aki(s^-1),S(a.u.),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,line_ref
S,4,10.5105,,0.00774,1.33,A,0.0,951.43,3s2.3p,2P*,1/2,3s2.3p,2P*,3/2,L6001c11
H,1,10.80359,80,2267.9,722.66,AAA,108324.7253,[109250.3433],9,,,16,,,L7424c32
Cu,2,10.8887,:,0.018,4.2,C+,21928.7326,22847.1176,3d9.4s,3D,3,3d9.4s,3D,2,
Al,1,10.93693,2,128000.0,331.0,A,41319.39,42233.742,3s2.4f,2F*,5/2,3s2.4d,2D,3/2,L6002
Mg,1,10.97008,51*,,,,59400.763,60312.317,3s.7f,3F*,3,3s.9g,G,3 or 4,L10570
Mg,1,10.970468,57*,,,,59400.763,60312.317,3s.7f,3F*,4,3s.9g,G,3 or 4,L10570
Mg,1,11.029949,,368000.0,732.0,B+,56308.381,57214.992,3s.5d,1D,2,3s.6p,1P*,1,L10570
Mg,1,11.16227,*,,,,56308.381,57204.267,3s.5d,1D,2,3s.5f,3F*,3,L10070
Mg,1,11.16227,*,,,,56308.381,57204.228,3s.5d,1D,2,3s.5f,3F*,2,L10070
Mg,1,11.163763,,459000.0,2210.0,B+,56308.381,57204.163,3s.5d,1D,2,3s.5f,1F*,3,L10570
Mg,1,11.275588,,,,,59428.853,60315.722,3s.7h,H*,,3s.9i,I,,L10570
Mg,1,11.292682,,,,,59430.517,60316.041,3s.7i,I,,3s.9k,K*,,L10570
Xe,1,11.297,,,,,90861.506,91746.564,5p5.(2P*<3/2>).4f,2[9/2],4,5p5.(2P*<1/2>).5d,2[5/2]*,3,L4227
H,1,11.308681,420,82370.0,9515.8,AAA,107440.4508,108324.7253,7,,,9,,,L7424c32
H,1,11.53954,110,3325.3,1134.8,AAA,108324.7253,[109191.3154],9,,,15,,,L6002
Mg,1,11.791482,40,355000.0,2590.0,B,58575.477,59423.537,3s.6f,1F*,3,3s.7g,1G,4,L10570
Mg,1,11.791605,30*,325000.0,1840.0,B,58575.527,59423.537,3s.6f,3F*,2,3s.7g,3G,3,L10570
Mg,1,11.792118,50*,332000.0,2420.0,B,58575.527,59423.537,3s.6f,3F*,3,3s.7g,3G,4,L10570
Mg,1,11.792118,50*,28500.0,161.0,B,58575.527,59423.537,3s.6f,3F*,3,3s.7g,3G,3,L10570
Mg,1,11.792118,50*,,,,58575.527,59423.537,3s.6f,3F*,3,3s.7g,1G,4,L10570
Mg,1,11.792301,65*,354000.0,3160.0,B,58575.527,59423.537,3s.6f,3F*,4,3s.7g,3G,5,L10570
Mg,1,11.792301,65*,22200.0,161.0,B,58575.527,59423.537,3s.6f,3F*,4,3s.7g,3G,4,L10570
Mg,1,11.792301,65*,434.0,2.46,D+,58575.527,59423.537,3s.6f,3F*,4,3s.7g,3G,3,L10570
Mg,1,11.792301,65*,,,,58575.527,59423.537,3s.6f,3F*,4,3s.7g,1G,4,L10570
Mg,1,11.87952,,156000.0,644.0,B,58477.02,59318.775,3s.7p,3P*,1,3s.7d,3D,2,"L10570,L6002"
Mg,1,11.89031,4*,5750.0,14.3,C,58477.76,59318.793,3s.7p,3P*,2,3s.7d,3D,1,"L6002,L6969"
Mg,1,11.89031,4*,51900.0,215.0,B,58477.76,59318.775,3s.7p,3P*,2,3s.7d,3D,2,"L6002,L6969"
Mg,1,11.89031,4*,207000.0,1200.0,B,58477.76,59318.764,3s.7p,3P*,2,3s.7d,3D,3,"L6002,L6969"
Mg,1,11.9312,,86700.0,218.0,B,57017.078,57855.214,3s.6p,3P*,0,3s.7s,3S,1,L10070
Mg,1,11.940293,,260000.0,655.0,B,57017.724,57855.214,3s.6p,3P*,1,3s.7s,3S,1,L10570
Mg,1,11.959069,,431000.0,1090.0,B,57019.025,57855.214,3s.6p,3P*,2,3s.7s,3S,1,L10570
Al,1,12.02828,1,355000.0,1220.0,A,43335.024,44166.398,3s2.6p,2P*,1/2,3s2.5d,2D,3/2,L6002
Al,1,12.03432,2,427000.0,2200.0,A,43337.889,44168.847,3s2.6p,2P*,3/2,3s2.5d,2D,5/2,L6002
Mg,1,12.20844,,202000.0,906.0,B+,57204.163,58023.246,3s.5f,1F*,3,3s.6d,1D,2,L10570
Mg,1,12.32172,55,,,,58618.942,59430.517,3s.6h,H*,,3s.7i,I,,"L6002,L7003"
H,1,12.371912,410,456080.0,41774.0,AAA,106632.1681,107440.4508,6,,,7,,,L7424c32
H,1,12.387153,340,23007.0,5223.1,AAA,107965.0568,108772.3445,8,,,11,,,L7424c32
H,1,12.58705,210,5079.7,1959.9,AAA,108324.7253,[109119.1917],9,,,14,,,L7424c32
Mg,1,12.58843,2,726000.0,715.0,B,57214.992,58009.41,3s.6p,1P*,1,3s.7s,1S,0,"L6002,L6969"
Ne,2,12.813548,,0.00859,1.34,B,0.0,780.4240,2s2.2p5,2P*,3/2,2s2.2p5,2P*,1/2,L6510
Ar,5,13.1022,,0.00805,2.0,A,0.0,763.236,3s2.3p2,3P,0,3s2.3p2,3P,1,L7248
Mg,1,13.45318,20,60700.0,219.0,B,58575.527,59318.793,3s.6f,3F*,2,3s.7d,3D,1,L10570
Mg,1,13.454065,15,54200.0,326.0,B,58575.527,59318.775,3s.6f,3F*,3,3s.7d,3D,2,L10570
Mg,1,13.454528,40,55900.0,470.0,B,58575.527,59318.764,3s.6f,3F*,4,3s.7d,3D,3,L10570
Ne,5,14.3217,*,0.00459,2.51,B,411.227,1109.467,2s2.2p2,3P,1,2s2.2p2,3P,2,L11744
Ne,5,14.3217,*,1.1e-09,0.297,C,411.227,1109.467,2s2.2p2,3P,1,2s2.2p2,3P,2,L11744
Na,6,14.3964,,0.00598,1.95,B+,0.0,694.62,2s2.2p2,3P,0,2s2.2p2,3P,1,L7248
Ne,3,15.5551,,0.00584,2.44,A,0.0,642.876,2s2.2p4,3P,2,2s2.2p4,3P,1,L7248
Xe,1,18.514,,,,,90907.09,91447.474,5p5.(2P*<3/2>).4f,2[5/2],3,5p5.(2P*<1/2>).5d,2[3/2]*,2,L4227
S,3,18.713,,0.00206,2.49,A,298.69,833.08,3s2.3p2,3P,1,3s2.3p2,3P,2,L3461
H,1,19.06196,540,227200.0,99258.0,AAA,107440.4508,107965.0568,7,,,8,,,L7455
Ar,3,21.8302,,0.00519,2.0,A,1112.17,1570.23,3s2.3p4,3P,1,3s2.3p4,3P,0,L13330
Fe,3,22.925,,0.002884,9.036,AA,0.0,436.19,3d6,5D,4,3d6,5D,3,L7250
Ne,5,24.3175,,0.00129,2.05,B,0.0,411.227,2s2.2p2,3P,0,2s2.2p2,3P,1,L11744
F,1,24.74384,,0.001187,1.333,A+,0.0,404.141,2s2.2p5,2P*,3/2,2s2.2p5,2P*,1/2,L5746
