# RRKM rate for corannulene isomer 
En(eV)     K(E) s-1
9.249157  1.763293e+12
9.261555  1.769151e+12
9.273954  1.774999e+12
9.286352  1.780868e+12
9.298750  1.786752e+12
9.311149  1.792624e+12
9.323547  1.798523e+12
9.335945  1.804419e+12
9.348344  1.810326e+12
9.360742  1.816241e+12
9.373140  1.822158e+12
9.385539  1.828087e+12
9.397937  1.834028e+12
9.410335  1.839969e+12
9.422734  1.845923e+12
9.435132  1.851879e+12
9.447530  1.857849e+12
9.459929  1.863825e+12
9.472327  1.869807e+12
9.484725  1.875794e+12
9.497124  1.881796e+12
9.509522  1.887801e+12
9.521920  1.893813e+12
9.534319  1.899833e+12
9.546717  1.905862e+12
9.559115  1.911903e+12
9.571514  1.917937e+12
9.583912  1.923985e+12
9.596310  1.930042e+12
9.608709  1.936113e+12
9.621107  1.942187e+12
9.633505  1.948257e+12
9.645904  1.954345e+12
9.658302  1.960451e+12
9.670700  1.966542e+12
9.683099  1.972663e+12
9.695497  1.978777e+12
9.707895  1.984898e+12
9.720294  1.991041e+12
9.732692  1.997176e+12
9.745090  2.003317e+12
9.757489  2.009465e+12
9.769887  2.015632e+12
9.782285  2.021804e+12
9.794684  2.027978e+12
9.807082  2.034157e+12
9.819480  2.040345e+12
9.831879  2.046544e+12
9.844277  2.052753e+12
9.856675  2.058964e+12
9.869074  2.065183e+12
9.881472  2.071403e+12
9.893870  2.077642e+12
9.906269  2.083880e+12
9.918667  2.090128e+12
9.931065  2.096383e+12
9.943464  2.102642e+12
9.955862  2.108912e+12
9.968260  2.115188e+12
9.980659  2.121469e+12
9.993057  2.127758e+12
10.005455  2.134051e+12
10.017854  2.140364e+12
10.030252  2.146668e+12
10.042650  2.152987e+12
10.055049  2.159321e+12
10.067447  2.165639e+12
10.079845  2.171980e+12
10.092244  2.178332e+12
10.104642  2.184678e+12
10.117040  2.191042e+12
10.129439  2.197408e+12
10.141837  2.203775e+12
10.154235  2.210155e+12
10.166634  2.216539e+12
10.179032  2.222938e+12
10.191430  2.229343e+12
10.203829  2.235749e+12
10.216227  2.242162e+12
10.228625  2.248576e+12
10.241024  2.255008e+12
10.253422  2.261440e+12
10.265820  2.267878e+12
10.278219  2.274333e+12
10.290617  2.280784e+12
10.303015  2.287246e+12
10.315414  2.293714e+12
10.327812  2.300190e+12
10.340210  2.306669e+12
10.352609  2.313159e+12
10.365007  2.319653e+12
10.377405  2.326155e+12
10.389804  2.332660e+12
10.402202  2.339177e+12
10.414600  2.345696e+12
10.426999  2.352223e+12
10.439397  2.358767e+12
10.451795  2.365307e+12
10.464194  2.371843e+12
10.476592  2.378398e+12
10.488990  2.384954e+12
10.501389  2.391523e+12
10.513787  2.398093e+12
10.526185  2.404680e+12
10.538584  2.411266e+12
10.550982  2.417856e+12
10.563380  2.424453e+12
10.575779  2.431052e+12
10.588177  2.437670e+12
10.600575  2.444289e+12
10.612974  2.450915e+12
10.625372  2.457539e+12
10.637770  2.464178e+12
10.650169  2.470824e+12
10.662567  2.477474e+12
10.674965  2.484124e+12
10.687364  2.490795e+12
10.699762  2.497458e+12
10.712160  2.504136e+12
10.724559  2.510816e+12
10.736957  2.517503e+12
10.749355  2.524198e+12
10.761754  2.530898e+12
10.774152  2.537602e+12
10.786550  2.544315e+12
10.798949  2.551033e+12
10.811347  2.557756e+12
10.823745  2.564487e+12
10.836144  2.571229e+12
10.848542  2.577973e+12
10.860940  2.584719e+12
10.873339  2.591486e+12
10.885737  2.598250e+12
10.898135  2.604988e+12
10.910534  2.611775e+12
10.922932  2.618547e+12
10.935330  2.625333e+12
10.947729  2.632127e+12
10.960127  2.638934e+12
10.972525  2.645733e+12
10.984924  2.652541e+12
10.997322  2.659364e+12
11.009720  2.666177e+12
11.022119  2.673014e+12
11.034517  2.679841e+12
11.046915  2.686676e+12
11.059314  2.693522e+12
11.071712  2.700372e+12
11.084110  2.707226e+12
11.096509  2.714091e+12
11.108907  2.720959e+12
11.121305  2.727834e+12
11.133704  2.734718e+12
11.146102  2.741601e+12
11.158500  2.748495e+12
11.170899  2.755394e+12
11.183297  2.762299e+12
11.195695  2.769205e+12
11.208094  2.776119e+12
11.220492  2.783040e+12
11.232890  2.789969e+12
11.245289  2.796898e+12
11.257687  2.803838e+12
11.270085  2.810780e+12
11.282484  2.817730e+12
11.294882  2.824687e+12
11.307280  2.831655e+12
11.319679  2.838613e+12
11.332077  2.845565e+12
11.344475  2.852559e+12
11.356874  2.859548e+12
11.369272  2.866530e+12
11.381670  2.873535e+12
11.394069  2.880514e+12
11.406467  2.887521e+12
11.418865  2.894534e+12
11.431264  2.901560e+12
11.443662  2.908586e+12
11.456060  2.915609e+12
11.468459  2.922648e+12
11.480857  2.929679e+12
11.493255  2.936719e+12
11.505654  2.943779e+12
11.518052  2.950832e+12
11.530450  2.957890e+12
11.542849  2.964954e+12
11.555247  2.972023e+12
11.567645  2.979103e+12
11.580044  2.986181e+12
11.592442  2.993274e+12
11.604840  3.000364e+12
11.617239  3.007461e+12
11.629637  3.014569e+12
11.642035  3.021672e+12
11.654434  3.028792e+12
11.666832  3.035909e+12
11.679230  3.043031e+12
11.691629  3.050162e+12
11.704027  3.057298e+12
11.716425  3.064436e+12
11.728824  3.071582e+12
11.741222  3.078736e+12
11.753620  3.085890e+12
11.766019  3.093043e+12
11.778417  3.100215e+12
11.790815  3.107388e+12
11.803214  3.114564e+12
11.815612  3.121760e+12
11.828010  3.128918e+12
11.840409  3.136128e+12
11.852807  3.143340e+12
11.865205  3.150522e+12
11.877604  3.157730e+12
11.890002  3.164950e+12
11.902400  3.172167e+12
11.914799  3.179386e+12
11.927197  3.186607e+12
11.939595  3.193845e+12
11.951994  3.201082e+12
11.964392  3.208328e+12
11.976790  3.215575e+12
11.989189  3.222827e+12
12.001587  3.230088e+12
12.013985  3.237346e+12
12.026384  3.244617e+12
12.038782  3.251894e+12
12.051180  3.259161e+12
12.063579  3.266449e+12
12.075977  3.273738e+12
12.088375  3.281031e+12
12.100774  3.288330e+12
12.113172  3.295629e+12
12.125570  3.302939e+12
12.137969  3.310246e+12
12.150367  3.317566e+12
12.162765  3.324888e+12
12.175164  3.332210e+12
12.187562  3.339542e+12
12.199960  3.346881e+12
12.212359  3.354227e+12
12.224757  3.361557e+12
12.237155  3.368894e+12
12.249554  3.376269e+12
12.261952  3.383614e+12
12.274350  3.390999e+12
12.286749  3.398366e+12
12.299147  3.405739e+12
12.311545  3.413114e+12
12.323944  3.420493e+12
12.336342  3.427875e+12
12.348740  3.435275e+12
12.361139  3.442677e+12
12.373537  3.450071e+12
12.385935  3.457490e+12
12.398334  3.464904e+12
12.410732  3.472321e+12
12.423130  3.479724e+12
12.435529  3.487153e+12
12.447927  3.494591e+12
12.460325  3.502017e+12
12.472724  3.509456e+12
12.485122  3.516895e+12
12.497520  3.524345e+12
12.509919  3.531802e+12
12.522317  3.539251e+12
12.534715  3.546719e+12
12.547114  3.554179e+12
12.559512  3.561652e+12
12.571910  3.569123e+12
12.584309  3.576602e+12
12.596707  3.584088e+12
12.609105  3.591578e+12
12.621504  3.599067e+12
12.633902  3.606565e+12
12.646300  3.614064e+12
12.658699  3.621569e+12
12.671097  3.629077e+12
12.683495  3.636605e+12
12.695894  3.644117e+12
12.708292  3.651619e+12
12.720690  3.659155e+12
12.733089  3.666703e+12
12.745487  3.674238e+12
12.757885  3.681765e+12
12.770284  3.689309e+12
12.782682  3.696853e+12
12.795080  3.704410e+12
12.807479  3.711986e+12
12.819877  3.719533e+12
12.832275  3.727096e+12
12.844674  3.734663e+12
12.857072  3.742235e+12
12.869470  3.749809e+12
12.881869  3.757398e+12
12.894267  3.764986e+12
12.906665  3.772576e+12
12.919064  3.780175e+12
12.931462  3.787770e+12
12.943860  3.795375e+12
12.956259  3.802973e+12
12.968657  3.810582e+12
12.981055  3.818197e+12
12.993454  3.825822e+12
13.005852  3.833439e+12
13.018250  3.841076e+12
13.030649  3.848701e+12
13.043047  3.856335e+12
13.055445  3.863973e+12
13.067844  3.871620e+12
13.080242  3.879266e+12
13.092640  3.886918e+12
13.105039  3.894575e+12
13.117437  3.902228e+12
13.129835  3.909900e+12
13.142234  3.917566e+12
13.154632  3.925236e+12
13.167030  3.932906e+12
13.179429  3.940600e+12
13.191827  3.948258e+12
13.204225  3.955958e+12
13.216624  3.963652e+12
13.229022  3.971356e+12
13.241420  3.979051e+12
13.253819  3.986762e+12
13.266217  3.994470e+12
13.278615  4.002161e+12
13.291014  4.009868e+12
13.303412  4.017589e+12
13.315810  4.025319e+12
13.328209  4.033041e+12
13.340607  4.040783e+12
13.353005  4.048500e+12
13.365404  4.056232e+12
13.377802  4.063965e+12
13.390200  4.071710e+12
13.402599  4.079472e+12
13.414997  4.087210e+12
13.427395  4.094971e+12
13.439794  4.102731e+12
13.452192  4.110500e+12
13.464590  4.118262e+12
13.476989  4.126028e+12
13.489387  4.133803e+12
13.501785  4.141584e+12
13.514184  4.149365e+12
13.526582  4.157144e+12
13.538980  4.164939e+12
13.551379  4.172729e+12
13.563777  4.180530e+12
13.576175  4.188323e+12
13.588574  4.196132e+12
13.600972  4.203937e+12
13.613370  4.211742e+12
13.625769  4.219559e+12
13.638167  4.227371e+12
13.650565  4.235191e+12
13.662964  4.243019e+12
13.675362  4.250845e+12
13.687760  4.258670e+12
13.700159  4.266504e+12
13.712557  4.274337e+12
13.724955  4.282199e+12
