# RRKM rate for corannulene isomer 
En(eV)     K(E) s-1
5.926403  1.649411e+08
5.938802  1.688734e+08
5.951200  1.728850e+08
5.963598  1.769776e+08
5.975997  1.811522e+08
5.988395  1.854104e+08
6.000793  1.897536e+08
6.013192  1.941830e+08
6.025590  1.986995e+08
6.037988  2.033054e+08
6.050387  2.080024e+08
6.062785  2.127888e+08
6.075183  2.176709e+08
6.087582  2.226468e+08
6.099980  2.277185e+08
6.112378  2.328882e+08
6.124777  2.381567e+08
6.137175  2.435278e+08
6.149573  2.490002e+08
6.161972  2.545757e+08
6.174370  2.602575e+08
6.186768  2.660470e+08
6.199167  2.719449e+08
6.211565  2.779526e+08
6.223963  2.840726e+08
6.236362  2.903074e+08
6.248760  2.966562e+08
6.261159  3.031229e+08
6.273557  3.097080e+08
6.285955  3.164139e+08
6.298354  3.232423e+08
6.310752  3.301957e+08
6.323150  3.372743e+08
6.335549  3.444797e+08
6.347947  3.518175e+08
6.360345  3.592873e+08
6.372744  3.668857e+08
6.385142  3.746236e+08
6.397540  3.824993e+08
6.409939  3.905100e+08
6.422337  3.986667e+08
6.434735  4.069641e+08
6.447134  4.154078e+08
6.459532  4.239976e+08
6.471930  4.327383e+08
6.484329  4.416302e+08
6.496727  4.506749e+08
6.509125  4.598766e+08
6.521524  4.692358e+08
6.533922  4.787536e+08
6.546320  4.884335e+08
6.558719  4.982793e+08
6.571117  5.082911e+08
6.583515  5.184715e+08
6.595914  5.288224e+08
6.608312  5.393488e+08
6.620710  5.500499e+08
6.633109  5.609280e+08
6.645507  5.719859e+08
6.657905  5.832279e+08
6.670304  5.946562e+08
6.682702  6.062703e+08
6.695100  6.180762e+08
6.707499  6.300711e+08
6.719897  6.422607e+08
6.732295  6.546496e+08
6.744694  6.672427e+08
6.757092  6.800329e+08
6.769490  6.930294e+08
6.781889  7.062353e+08
6.794287  7.196514e+08
6.806685  7.332798e+08
6.819084  7.471245e+08
6.831482  7.611857e+08
6.843880  7.754715e+08
6.856279  7.899761e+08
6.868677  8.047110e+08
6.881075  8.196802e+08
6.893474  8.348752e+08
6.905872  8.503040e+08
6.918270  8.659747e+08
6.930669  8.818859e+08
6.943067  8.980416e+08
6.955465  9.144397e+08
6.967864  9.310947e+08
6.980262  9.479966e+08
6.992660  9.651562e+08
7.005059  9.825721e+08
7.017457  1.000257e+09
7.029855  1.018201e+09
7.042254  1.036418e+09
7.054652  1.054898e+09
7.067050  1.073660e+09
7.079449  1.092693e+09
7.091847  1.112017e+09
7.104245  1.131616e+09
7.116644  1.151505e+09
7.129042  1.171687e+09
7.141440  1.192159e+09
7.153839  1.212934e+09
7.166237  1.234003e+09
7.178635  1.255383e+09
7.191034  1.277062e+09
7.203432  1.299063e+09
7.215830  1.321373e+09
7.228229  1.344002e+09
7.240627  1.366950e+09
7.253025  1.390225e+09
7.265424  1.413828e+09
7.277822  1.437764e+09
7.290220  1.462040e+09
7.302619  1.486649e+09
7.315017  1.511604e+09
7.327415  1.536911e+09
7.339814  1.562557e+09
7.352212  1.588573e+09
7.364610  1.614936e+09
7.377009  1.641666e+09
7.389407  1.668767e+09
7.401805  1.696237e+09
7.414204  1.724084e+09
7.426602  1.752297e+09
7.439000  1.780893e+09
7.451399  1.809881e+09
7.463797  1.839259e+09
7.476195  1.869027e+09
7.488594  1.899196e+09
7.500992  1.929769e+09
7.513390  1.960746e+09
7.525789  1.992141e+09
7.538187  2.023943e+09
7.550585  2.056173e+09
7.562984  2.088818e+09
7.575382  2.121894e+09
7.587780  2.155405e+09
7.600179  2.189348e+09
7.612577  2.223732e+09
7.624975  2.258567e+09
7.637374  2.293847e+09
7.649772  2.329582e+09
7.662170  2.365778e+09
7.674569  2.402440e+09
7.686967  2.439565e+09
7.699365  2.477168e+09
7.711764  2.515246e+09
7.724162  2.553793e+09
7.736560  2.592835e+09
7.748959  2.632383e+09
7.761357  2.672401e+09
7.773755  2.712945e+09
7.786154  2.753975e+09
