       No.    E-Emin     Density     Sum
       313    31200.0  4.27082E+28  3.57489E+31
       314    31300.0  4.84044E+28  4.05894E+31
       315    31400.0  5.48473E+28  4.60741E+31
       316    31500.0  6.21332E+28  5.22874E+31
       317    31600.0  7.03704E+28  5.93244E+31
       318    31700.0  7.96811E+28  6.72926E+31
       319    31800.0  9.02027E+28  7.63128E+31
       320    31900.0  1.02090E+29  8.65218E+31
       321    32000.0  1.15517E+29  9.80735E+31
       322    32100.0  1.30680E+29  1.11142E+32
       323    32200.0  1.47800E+29  1.25922E+32
       324    32300.0  1.67125E+29  1.42634E+32
       325    32400.0  1.88933E+29  1.61527E+32
       326    32500.0  2.13539E+29  1.82881E+32
       327    32600.0  2.41296E+29  2.07011E+32
       328    32700.0  2.72599E+29  2.34271E+32
       329    32800.0  3.07895E+29  2.65060E+32
       330    32900.0  3.47683E+29  2.99829E+32
       331    33000.0  3.92527E+29  3.39081E+32
       332    33100.0  4.43057E+29  3.83387E+32
       333    33200.0  4.99983E+29  4.33385E+32
       334    33300.0  5.64100E+29  4.89795E+32
       335    33400.0  6.36300E+29  5.53425E+32
       336    33500.0  7.17587E+29  6.25184E+32
       337    33600.0  8.09084E+29  7.06092E+32
       338    33700.0  9.12051E+29  7.97297E+32
       339    33800.0  1.02790E+30  9.00088E+32
       340    33900.0  1.15822E+30  1.01591E+33
       341    34000.0  1.30479E+30  1.14639E+33
       342    34100.0  1.46960E+30  1.29335E+33
       343    34200.0  1.65487E+30  1.45884E+33
       344    34300.0  1.86311E+30  1.64515E+33
       345    34400.0  2.09712E+30  1.85486E+33
       346    34500.0  2.36004E+30  2.09086E+33
       347    34600.0  2.65536E+30  2.35640E+33
       348    34700.0  2.98702E+30  2.65510E+33
       349    34800.0  3.35943E+30  2.99105E+33
       350    34900.0  3.77749E+30  3.36879E+33
       351    35000.0  4.24671E+30  3.79346E+33
       352    35100.0  4.77325E+30  4.27079E+33
       353    35200.0  5.36399E+30  4.80719E+33
       354    35300.0  6.02663E+30  5.40985E+33
       355    35400.0  6.76977E+30  6.08683E+33
       356    35500.0  7.60304E+30  6.84713E+33
       357    35600.0  8.53717E+30  7.70085E+33
       358    35700.0  9.58419E+30  8.65927E+33
       359    35800.0  1.07575E+31  9.73502E+33
       360    35900.0  1.20721E+31  1.09422E+34
       361    36000.0  1.35446E+31  1.22967E+34
       362    36100.0  1.51938E+31  1.38161E+34
       363    36200.0  1.70406E+31  1.55201E+34
       364    36300.0  1.91081E+31  1.74309E+34
       365    36400.0  2.14223E+31  1.95732E+34
       366    36500.0  2.40122E+31  2.19744E+34
       367    36600.0  2.69101E+31  2.46654E+34
