       No.    E-Emin     Density     Sum
       537    53600.0  8.98125E+38  1.03273E+42
       538    53700.0  9.82404E+38  1.13097E+42
       539    53800.0  1.07447E+39  1.23842E+42
       540    53900.0  1.17504E+39  1.35592E+42
       541    54000.0  1.28488E+39  1.48441E+42
       542    54100.0  1.40484E+39  1.62490E+42
       543    54200.0  1.53583E+39  1.77848E+42
       544    54300.0  1.67885E+39  1.94636E+42
       545    54400.0  1.83498E+39  2.12986E+42
       546    54500.0  2.00543E+39  2.33041E+42
       547    54600.0  2.19147E+39  2.54955E+42
       548    54700.0  2.39451E+39  2.78900E+42
       549    54800.0  2.61608E+39  3.05061E+42
       550    54900.0  2.85785E+39  3.33640E+42
       551    55000.0  3.12163E+39  3.64856E+42
       552    55100.0  3.40940E+39  3.98950E+42
       553    55200.0  3.72329E+39  4.36183E+42
       554    55300.0  4.06566E+39  4.76839E+42
       555    55400.0  4.43905E+39  5.21230E+42
       556    55500.0  4.84621E+39  5.69692E+42
       557    55600.0  5.29017E+39  6.22594E+42
       558    55700.0  5.77419E+39  6.80336E+42
       559    55800.0  6.30184E+39  7.43354E+42
       560    55900.0  6.87700E+39  8.12124E+42
       561    56000.0  7.50386E+39  8.87163E+42
       562    56100.0  8.18703E+39  9.69033E+42
       563    56200.0  8.93146E+39  1.05835E+43
       564    56300.0  9.74259E+39  1.15577E+43
       565    56400.0  1.06263E+40  1.26204E+43
       566    56500.0  1.15890E+40  1.37793E+43
       567    56600.0  1.26375E+40  1.50430E+43
       568    56700.0  1.37796E+40  1.64210E+43
       569    56800.0  1.50233E+40  1.79233E+43
       570    56900.0  1.63777E+40  1.95611E+43
       571    57000.0  1.78523E+40  2.13463E+43
       572    57100.0  1.94578E+40  2.32921E+43
       573    57200.0  2.12054E+40  2.54126E+43
       574    57300.0  2.31078E+40  2.77234E+43
       575    57400.0  2.51783E+40  3.02412E+43
       576    57500.0  2.74315E+40  3.29844E+43
       577    57600.0  2.98835E+40  3.59727E+43
       578    57700.0  3.25514E+40  3.92279E+43
       579    57800.0  3.54539E+40  4.27733E+43
       580    57900.0  3.86115E+40  4.66344E+43
