       No.    E-Emin     Density     Sum
       267    26600.0  7.81686E+26  5.93473E+29
       268    26700.0  8.98145E+26  6.83288E+29
       269    26800.0  1.03164E+27  7.86452E+29
       270    26900.0  1.18463E+27  9.04915E+29
       271    27000.0  1.35989E+27  1.04090E+30
       272    27100.0  1.56062E+27  1.19697E+30
       273    27200.0  1.79045E+27  1.37601E+30
       274    27300.0  2.05352E+27  1.58136E+30
       275    27400.0  2.35456E+27  1.81682E+30
       276    27500.0  2.69893E+27  2.08671E+30
       277    27600.0  3.09278E+27  2.39599E+30
       278    27700.0  3.54307E+27  2.75030E+30
       279    27800.0  4.05776E+27  3.15608E+30
       280    27900.0  4.64589E+27  3.62066E+30
       281    28000.0  5.31775E+27  4.15244E+30
       282    28100.0  6.08505E+27  4.76094E+30
       283    28200.0  6.96110E+27  5.45705E+30
       284    28300.0  7.96104E+27  6.25316E+30
       285    28400.0  9.10208E+27  7.16337E+30
       286    28500.0  1.04038E+28  8.20374E+30
       287    28600.0  1.18883E+28  9.39258E+30
       288    28700.0  1.35810E+28  1.07507E+31
       289    28800.0  1.55105E+28  1.23017E+31
       290    28900.0  1.77092E+28  1.40726E+31
       291    29000.0  2.02142E+28  1.60941E+31
       292    29100.0  2.30672E+28  1.84008E+31
       293    29200.0  2.63159E+28  2.10324E+31
       294    29300.0  3.00141E+28  2.40338E+31
       295    29400.0  3.42229E+28  2.74561E+31
       296    29500.0  3.90116E+28  3.13572E+31
       297    29600.0  4.44587E+28  3.58031E+31
       298    29700.0  5.06530E+28  4.08684E+31
       299    29800.0  5.76953E+28  4.66379E+31
       300    29900.0  6.56997E+28  5.32079E+31
       301    30000.0  7.47953E+28  6.06874E+31
       302    30100.0  8.51282E+28  6.92003E+31
       303    30200.0  9.68638E+28  7.88866E+31
       304    30300.0  1.10189E+29  8.99056E+31
       305    30400.0  1.25316E+29  1.02437E+32
       306    30500.0  1.42483E+29  1.16685E+32
       307    30600.0  1.61962E+29  1.32882E+32
       308    30700.0  1.84057E+29  1.51287E+32
       309    30800.0  2.09115E+29  1.72199E+32
       310    30900.0  2.37525E+29  1.95951E+32
       311    31000.0  2.69728E+29  2.22924E+32
       312    31100.0  3.06222E+29  2.53546E+32
       313    31200.0  3.47569E+29  2.88303E+32
       314    31300.0  3.94403E+29  3.27744E+32
       315    31400.0  4.47439E+29  3.72488E+32
       316    31500.0  5.07485E+29  4.23236E+32
       317    31600.0  5.75450E+29  4.80781E+32
       318    31700.0  6.52362E+29  5.46017E+32
       319    31800.0  7.39377E+29  6.19955E+32
       320    31900.0  8.37801E+29  7.03735E+32
       321    32000.0  9.49103E+29  7.98645E+32
       322    32100.0  1.07494E+30  9.06139E+32
       323    32200.0  1.21717E+30  1.02786E+33
       324    32300.0  1.37791E+30  1.16565E+33
       325    32400.0  1.55951E+30  1.32160E+33
       326    32500.0  1.76463E+30  1.49806E+33
       327    32600.0  1.99628E+30  1.69769E+33
       328    32700.0  2.25782E+30  1.92347E+33
       329    32800.0  2.55304E+30  2.17877E+33
       330    32900.0  2.88621E+30  2.46740E+33
       331    33000.0  3.26212E+30  2.79361E+33
       332    33100.0  3.68617E+30  3.16222E+33
       333    33200.0  4.16440E+30  3.57866E+33
       334    33300.0  4.70363E+30  4.04903E+33
       335    33400.0  5.31150E+30  4.58018E+33
       336    33500.0  5.99660E+30  5.17984E+33
       337    33600.0  6.76859E+30  5.85670E+33
       338    33700.0  7.63828E+30  6.62052E+33
       339    33800.0  8.61783E+30  7.48231E+33
       340    33900.0  9.72089E+30  8.45440E+33
       341    34000.0  1.09628E+31  9.55067E+33
       342    34100.0  1.23606E+31  1.07867E+34
       343    34200.0  1.39338E+31  1.21801E+34
       344    34300.0  1.57037E+31  1.37505E+34
       345    34400.0  1.76948E+31  1.55200E+34
       346    34500.0  1.99340E+31  1.75134E+34
       347    34600.0  2.24519E+31  1.97586E+34
       348    34700.0  2.52825E+31  2.22868E+34
       349    34800.0  2.84640E+31  2.51332E+34
       350    34900.0  3.20392E+31  2.83371E+34
       351    35000.0  3.60560E+31  3.19427E+34
       352    35100.0  4.05679E+31  3.59995E+34
       353    35200.0  4.56351E+31  4.05630E+34
       354    35300.0  5.13246E+31  4.56955E+34
       355    35400.0  5.77117E+31  5.14667E+34
       356    35500.0  6.48804E+31  5.79547E+34
       357    35600.0  7.29248E+31  6.52472E+34
